"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000079658"	18844	26691	23732	6581	5228	30673	5470	4853	14158
"ENSMUSG00000097744"	425	505	91	151	294	276	120	169	42
"ENSMUSG00000100959"	0	0	0	0	0	1	4	0	0
"ENSMUSG00000025940"	19304	15674	23275	2308	3248	174	2812	2193	6906
"ENSMUSG00000025779"	664	985	863	64	3	6	51	3	62
"ENSMUSG00000100093"	185	45	38	22	18	58	28	26	9
"ENSMUSG00000091020"	73	55	10	6	0	140	9	11	24
"ENSMUSG00000101640"	0	0	0	0	0	1	0	0	0
"ENSMUSG00000104133"	1	1	1	0	0	0	0	0	0
"ENSMUSG00000042686"	1816	44	133	2	355	8	561	370	981
"ENSMUSG00000100110"	0	0	0	0	1	0	0	0	1
"ENSMUSG00000025777"	21	12	178	4	7	8	10	26	4
"ENSMUSG00000099899"	4	9	1	1	6	3	7	4	0
"ENSMUSG00000100272"	0	1	1	0	0	0	0	0	0
"ENSMUSG00000100398"	144	91	159	48	200	62	81	62	86
"ENSMUSG00000101589"	416	179	295	142	73	191	225	174	294
"ENSMUSG00000102048"	287	236	366	99	322	516	299	334	106
"ENSMUSG00000089534"	0	0	0	0	1	0	1	0	0
"ENSMUSG00000067780"	32	54	9	10	32	26	17	20	5
"ENSMUSG00000100053"	12	5	0	2	9	6	5	5	0
"ENSMUSG00000085125"	9	3	0	1	6	7	4	1	2
"ENSMUSG00000025776"	10	14	3	3	7	9	76	318	584
"ENSMUSG00000099895"	0	0	0	0	2	1	0	0	1
"ENSMUSG00000100554"	3	11	0	1	7	0	3	3	3
"ENSMUSG00000099473"	0	0	1	0	0	0	0	0	0
"ENSMUSG00000099591"	44	9	0	13	1	5	8	16	2
"ENSMUSG00000109887"	2	4	0	0	0	4	3	2	4
"ENSMUSG00000102001"	0	1	0	0	0	1	0	0	1
"ENSMUSG00000101717"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025774"	7	11	0	2	7	5	2	0	1
"ENSMUSG00000070977"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000073735"	0	2	0	0	0	0	0	0	1
"ENSMUSG00000067773"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000101685"	411	275	172	102	170	508	293	320	151
"ENSMUSG00000101306"	16	2	6	0	14	3	1	0	1
"ENSMUSG00000088800"	0	0	0	0	0	0	0	0	1
"ENSMUSG00000101644"	61	11	6	7	11	19	4	16	11
"ENSMUSG00000099433"	682	18	7	5	20	30	16	9	6
"ENSMUSG00000089787"	0	0	0	0	0	1	0	0	0
"ENSMUSG00000042596"	6	2	1	2	7	9	4	5	3
"ENSMUSG00000100720"	112	108	40	41	103	111	70	63	99
"ENSMUSG00000025927"	104	101	24	35	101	113	84	89	35
"ENSMUSG00000100538"	0	1	1	0	0	2	0	0	0
"ENSMUSG00000101117"	75	11	3	4	5	20	4	9	5
"ENSMUSG00000100204"	141	120	83	110	87	216	186	85	110
"ENSMUSG00000084668"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102597"	40	14	0	4	4	3	1	4	1
"ENSMUSG00000043760"	6	12	0	0	9	5	19	12	908
"ENSMUSG00000104095"	2	2	0	1	1	3	1	1	1
"ENSMUSG00000089914"	0	0	0	1	0	0	1	0	0
"ENSMUSG00000090142"	274	299	196	161	358	916	300	394	94
"ENSMUSG00000070175"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000099906"	11	15	1	3	5	4	6	4	5
"ENSMUSG00000065559"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000065480"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025929"	0	2	0	0	5	1	5	0	1
"ENSMUSG00000041872"	2	0	65	0	0	1	2	0	1
"ENSMUSG00000041859"	29521	29060	22680	23551	22578	41653	42400	30697	57185
"ENSMUSG00000099714"	139	71	58	34	50	178	71	69	39
"ENSMUSG00000102121"	0	0	0	0	0	0	0	0	1
"ENSMUSG00000088858"	1	0	0	0	0	0	0	0	0
