"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000105109"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000099517"	393	874	734	107	10	812	355	287	293
"ENSMUSG00000100210"	346	156	259	68	7	65	81	201	139
"ENSMUSG00000069274"	15	25	81	161	9	33	89	50	59
"ENSMUSG00000052565"	1191	149	636	115	26	110	385	385	384
"ENSMUSG00000069273"	1603	1504	986	98	22	896	395	524	128
"ENSMUSG00000069272"	612	818	981	136	283	662	469	656	607
"ENSMUSG00000104771"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000058385"	276	76	99	8	1	44	75	22	102
"ENSMUSG00000069268"	46	78	113	11	52	88	24	43	58
"ENSMUSG00000071478"	178	185	117	13	87	101	147	171	64
"ENSMUSG00000105924"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000099583"	406	309	531	5	16	235	113	108	21
"ENSMUSG00000061482"	736	1177	535	163	15	480	405	256	254
"ENSMUSG00000047246"	201	280	107	3	169	243	71	121	42
"ENSMUSG00000051627"	1056	5	399	33	303	1002	228	255	612
"ENSMUSG00000080741"	0	2	0	0	0	0	6	1	0
"ENSMUSG00000084753"	0	0	0	0	0	1	0	0	0
"ENSMUSG00000069270"	224	156	104	29	131	46	239	351	219
"ENSMUSG00000088030"	2	1	1	0	0	0	2	1	0
"ENSMUSG00000104997"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000018102"	887	36	1072	1260	640	3617	286	432	868
"ENSMUSG00000036211"	6	4	177	1	5	3	21	3	107
"ENSMUSG00000060678"	137	28	35	55	214	689	124	275	121
"ENSMUSG00000006611"	0	1	1	0	1	0	2	359	147
"ENSMUSG00000083206"	13	2	0	2	7	13	3	8	1
"ENSMUSG00000036181"	663	928	2536	0	6	11	495	339	381
"ENSMUSG00000069310"	1712	1440	1295	551	1097	3581	1272	1320	1069
"ENSMUSG00000080999"	75	36	8	4	14	25	71	29	22
"ENSMUSG00000106595"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000075031"	647	584	109	48	5	889	34	78	58
"ENSMUSG00000061615"	477	337	233	56	104	99	213	153	135
"ENSMUSG00000106203"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000069267"	74	114	156	74	80	232	63	110	15
"ENSMUSG00000075029"	0	1	0	1	3	1	1	0	1
"ENSMUSG00000069266"	590	415	124	59	108	161	121	149	51
"ENSMUSG00000060093"	374	197	83	1	100	15	135	116	67
"ENSMUSG00000069265"	2170	1409	1122	133	133	1166	521	583	328
"ENSMUSG00000049539"	3734	3086	1457	571	575	611	891	1263	1152
"ENSMUSG00000064140"	2503	287	2931	0	11	1	1	4	1
"ENSMUSG00000087173"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000036110"	7	10	7	1	5	5	10	18	1
"ENSMUSG00000036083"	7	4	1	2	0	5	5	4	3
"ENSMUSG00000021335"	4	2	0	3	0	4	0	0	0
"ENSMUSG00000021336"	1	0	2	0	0	1	0	0	0
"ENSMUSG00000082558"	12	6	2	1	0	1	2	5	2
"ENSMUSG00000050799"	34	34	8	3	4	21	9	17	13
"ENSMUSG00000060081"	13	4	0	2	3	0	4	4	6
"ENSMUSG00000105874"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000021337"	2	3	0	0	172	0	164	624	499
"ENSMUSG00000087603"	1	0	0	0	0	0	0	1	0
"ENSMUSG00000021338"	1456	705	1033	250	224	112	717	810	1329
"ENSMUSG00000081707"	419	118	48	52	83	172	73	88	166
"ENSMUSG00000083409"	8	4	1	3	4	7	9	6	1
"ENSMUSG00000089580"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000081909"	202	167	199	31	159	269	251	217	50
"ENSMUSG00000016756"	33	60	31	8	43	106	95	78	9
"ENSMUSG00000084788"	2	2	1	0	3	3	0	2	3
"ENSMUSG00000083165"	335	33	20	1	22	52	38	31	8
"ENSMUSG00000089413"	0	0	0	0	0	0	0	1	0
"ENSMUSG00000036006"	83	46	20	12	26	40	32	19	16
"ENSMUSG00000085603"	12	16	28	28	72	65	225	70	307
"ENSMUSG00000097838"	13	14	5	1	8	6	10	9	2
"ENSMUSG00000085861"	6	2	5	0	5	7	4	4	0
"ENSMUSG00000006715"	16870	18913	29930	10115	20851	37573	15276	11726	30173
"ENSMUSG00000019132"	19147	13638	28813	3545	12954	12835	14314	10717	29535
"ENSMUSG00000064811"	2	1	2	1	0	0	3	5	0
"ENSMUSG00000006717"	3265	2586	2069	1353	609	5602	3063	1974	3625
"ENSMUSG00000035958"	9683	5470	4137	3868	4248	12522	3330	3212	14405
"ENSMUSG00000006711"	15	8	1	2	11	2	7	12	5
"ENSMUSG00000086796"	6	4	0	0	3	3	28	2	3
"ENSMUSG00000035936"	31	32	12	7	27	44	1056	165	2533
"ENSMUSG00000086448"	38	103	16	22	35	44	55	39	5
"ENSMUSG00000021340"	1	2	114	0	1	2	4	228	5
"ENSMUSG00000021339"	1578	1460	2225	553	1010	523	1476	234	356
"ENSMUSG00000035910"	1118	13	211	348	1002	29	1756	600	19
"ENSMUSG00000082667"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000048978"	2	2	0	0	0	2	39	0	381
"ENSMUSG00000083919"	0	0	1	0	0	4	3	2	4
"ENSMUSG00000080840"	60	99	39	65	77	156	84	58	83
"ENSMUSG00000082161"	7	5	0	1	1	3	0	4	0
"ENSMUSG00000086531"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000084358"	1	0	1	0	0	0	0	1	2
"ENSMUSG00000084811"	1	5	0	2	6	2	1	1	0
"ENSMUSG00000060198"	2606	2231	2209	951	1215	3566	1993	2504	1157
"ENSMUSG00000045835"	47	58	11	6	28	29	11	117	12
"ENSMUSG00000081653"	65	72	49	10	79	136	52	81	18
"ENSMUSG00000082236"	17	15	11	5	10	21	7	11	4
"ENSMUSG00000021342"	5	12	3	0	9	6	3	4	1
"ENSMUSG00000057170"	1	0	0	1	0	2	0	0	0
"ENSMUSG00000062737"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000062201"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000017922"	10	5	0	3	1	4	3	1	0
"ENSMUSG00000038891"	665	88	93	0	0	0	0	0	0
"ENSMUSG00000038883"	2	2	0	0	2	0	0	1	1
"ENSMUSG00000086698"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000083096"	0	0	0	0	0	0	1	0	0
"ENSMUSG00000069259"	2	2	2	2	2	1	2	1	1
"ENSMUSG00000089749"	1	1	0	1	0	0	0	0	0
"ENSMUSG00000082306"	0	2	0	0	0	1	0	0	1
"ENSMUSG00000018259"	0	1	0	0	0	0	0	1	0
"ENSMUSG00000069258"	0	1	0	0	0	1	1	0	0
"ENSMUSG00000021345"	1	1	0	0	0	2	1	1	1
"ENSMUSG00000021346"	1	1	1	0	0	2	3	4	0
"ENSMUSG00000006490"	1	0	174	0	1	0	1	0	1
"ENSMUSG00000019756"	0	1	16	0	2	2	0	0	0
"ENSMUSG00000021347"	1	0	4	0	1	0	0	0	0
"ENSMUSG00000006488"	2	3	0	0	0	0	0	0	1
"ENSMUSG00000046899"	2	0	0	2	1	0	0	0	0
"ENSMUSG00000083946"	0	0	0	0	0	0	1	3	0
"ENSMUSG00000021348"	2	1	0	0	0	0	0	0	3
"ENSMUSG00000060738"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000022886"	2	1	0	0	0	1	0	0	0
"ENSMUSG00000062551"	1	2	0	0	0	0	1	0	0
"ENSMUSG00000095744"	0	1	0	0	0	0	0	1	0
"ENSMUSG00000113672"	10	3	5	0	0	0	0	0	0
"ENSMUSG00000113281"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113916"	0	3	1	0	5	1	1	1	0
"ENSMUSG00000005891"	0	2	0	0	0	0	0	0	0
"ENSMUSG00000114182"	0	1	0	0	1	0	0	0	0
"ENSMUSG00000017064"	1	2	0	0	1	2	0	0	1
"ENSMUSG00000113061"	12237	8125	12829	5809	29712	32742	16641	15089	6549
"ENSMUSG00000113418"	1	1	0	0	4	0	0	0	0
"ENSMUSG00000113216"	10	4	3	2	13	7	7	4	0
"ENSMUSG00000085936"	3	3	0	0	4	1	195	374	502
"ENSMUSG00000086785"	1	0	2	0	3	0	0	1	1
"ENSMUSG00000099158"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000092093"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000082861"	1794	1063	949	301	577	1905	1373	1478	596
"ENSMUSG00000113352"	23	23	4	5	11	4	9	4	2
"ENSMUSG00000097461"	0	0	0	0	1	1	0	0	0
"ENSMUSG00000076431"	315	15	46	1	31	8	880	1655	1357
"ENSMUSG00000086363"	2	2	0	1	2	4	1	0	0
"ENSMUSG00000082730"	130	46	28	13	55	155	45	48	26
"ENSMUSG00000006191"	256	564	992	311	286	288	1347	669	1076
"ENSMUSG00000086423"	0	1	0	0	0	1	0	0	0
"ENSMUSG00000016477"	1149	2743	639	278	1354	318	3143	2070	6134
"ENSMUSG00000086893"	1	0	0	0	1	1	1	0	1
"ENSMUSG00000085188"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113366"	68	69	12	23	32	30	13	17	4
"ENSMUSG00000083676"	258	159	60	19	62	103	68	64	36
"ENSMUSG00000038732"	8101	2977	6243	2	3	3	296	205	311
"ENSMUSG00000084669"	2	0	1	1	1	1	0	0	0
"ENSMUSG00000082648"	7	6	1	1	1	4	2	0	1
"ENSMUSG00000049115"	2	7	0	2	2	4	1	2	126
"ENSMUSG00000113424"	5	5	1	0	0	1	5	3	0
"ENSMUSG00000083882"	0	0	0	0	1	0	0	0	1
"ENSMUSG00000038462"	33048	26644	49420	6820	15382	38449	22291	17430	32774
"ENSMUSG00000086263"	8	2	3	1	7	8	7	5	3
"ENSMUSG00000069255"	55	49	22	2	17	18	338	157	361
"ENSMUSG00000081905"	2	1	1	4	7	15	2	7	1
"ENSMUSG00000021356"	5	6	0	1	4	4	3	52	5
"ENSMUSG00000113515"	6	7	0	0	8	2	1	5	161
"ENSMUSG00000021357"	910	91	2618	665	1043	717	1548	1444	3451
"ENSMUSG00000076430"	0	5	0	3	115	2	2	3	4
"ENSMUSG00000056257"	3	8	0	1	9	14	9	3	5
"ENSMUSG00000082014"	68	57	10	36	32	35	23	30	7
"ENSMUSG00000114161"	21	16	0	3	8	15	8	6	6
"ENSMUSG00000084175"	1	0	0	0	1	2	1	4	1
"ENSMUSG00000087460"	2	2	0	0	1	0	0	0	0
"ENSMUSG00000087662"	17	22	8	1	11	8	3	1	1
"ENSMUSG00000085620"	12	12	0	3	7	13	4	4	3
"ENSMUSG00000088693"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000087140"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000089052"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000090863"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000038415"	37	27	17	8	12	2497	10	14	130
"ENSMUSG00000087220"	0	0	0	0	0	0	0	1	0
"ENSMUSG00000038408"	101	121	49	28	40	73	37	43	18
"ENSMUSG00000087276"	0	1	0	0	0	0	0	0	1
"ENSMUSG00000038402"	5	7	109	0	5	391	1	3	11
"ENSMUSG00000098266"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000065843"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000086144"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000050295"	1992	288	515	56	106	138	49	49	59
"ENSMUSG00000038372"	1472	9	2084	877	40	181	343	240	623
"ENSMUSG00000113119"	3	1	0	1	1	1	1	1	1
"ENSMUSG00000083149"	80	98	58	33	97	327	91	68	28
"ENSMUSG00000113935"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000112944"	19	19	2	4	13	15	6	13	4
"ENSMUSG00000113965"	6	2	0	2	2	5	2	2	3
"ENSMUSG00000085770"	0	0	0	0	0	1	0	0	0
"ENSMUSG00000113449"	1	2	0	0	1	5	1	1	1
"ENSMUSG00000044951"	2	8	1	1	5	3	5	7	2
"ENSMUSG00000098788"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000021400"	9460	6314	5557	1826	1520	3353	4653	2913	5743
"ENSMUSG00000042874"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000044734"	1597	5	923	336	2	11	3	3	4
"ENSMUSG00000081433"	0	0	0	0	0	0	0	0	1
"ENSMUSG00000079049"	3	1	1	1	0	1	0	1	0
"ENSMUSG00000074973"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000042842"	45	20	18	1	4	9	34	6	7
"ENSMUSG00000114185"	6	5	1	1	2	2	0	4	3
"ENSMUSG00000045827"	821	6	0	1	2	3	221	0	19
"ENSMUSG00000021403"	4393	1805	1823	522	2726	815	13	13	43
"ENSMUSG00000113726"	8	1	2	1	3	2	1	2	0
"ENSMUSG00000051029"	4	3	0	93	0	1	2	0	0
"ENSMUSG00000083653"	0	0	0	0	0	1	0	1	0
"ENSMUSG00000082893"	106	43	24	16	45	47	34	74	35
"ENSMUSG00000021404"	1	1	0	1	0	0	0	1	0
"ENSMUSG00000054266"	0	0	1	0	0	0	0	0	0
"ENSMUSG00000081237"	0	0	0	1	0	0	0	0	0
"ENSMUSG00000113703"	0	0	1	0	0	0	0	0	0
"ENSMUSG00000062342"	0	1	0	0	0	1	0	1	0
"ENSMUSG00000038327"	71	103	17	34	55	68	27	35	17
"ENSMUSG00000071452"	2	0	2	0	3	0	0	2	0
"ENSMUSG00000057726"	8	5	0	1	0	8	0	3	1
"ENSMUSG00000081903"	4	0	0	0	1	0	0	0	0
"ENSMUSG00000081288"	30	55	9	8	20	34	11	5	8
"ENSMUSG00000082722"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000112963"	7	4	0	1	4	4	1	0	2
"ENSMUSG00000089229"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113016"	0	3	0	0	0	0	0	0	0
"ENSMUSG00000113398"	59	57	61	48	47	24	49	57	40
"ENSMUSG00000083042"	0	0	0	0	0	0	0	2	0
"ENSMUSG00000047889"	14	9	3	0	0	6	1	1	0
"ENSMUSG00000082986"	0	3	0	0	0	3	0	2	0
"ENSMUSG00000097202"	2	1	0	0	0	0	0	0	0
"ENSMUSG00000097931"	3	1	0	0	1	0	0	4	0
"ENSMUSG00000097190"	4	2	0	0	0	0	0	0	0
"ENSMUSG00000097054"	1	1	0	0	1	0	0	0	0
"ENSMUSG00000080317"	0	2	2	0	2	0	1	1	0
"ENSMUSG00000089642"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000069248"	4	1	0	0	1	2	0	0	1
"ENSMUSG00000052180"	3862	5572	3959	185	61	2697	1	3	5
"ENSMUSG00000060147"	36656	42520	34850	4614	3205	23604	4892	6792	9538
"ENSMUSG00000085457"	22	1104	4	2	8	7	5	59	4
"ENSMUSG00000046949"	451	3595	2495	751	1169	1767	1760	3487	4537
"ENSMUSG00000021408"	1101	998	424	160	50	9	573	208	452
"ENSMUSG00000090628"	1	0	1	0	0	1	1	1	0
"ENSMUSG00000091462"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000038286"	5	0	661	845	44	1315	471	304	1261
"ENSMUSG00000058672"	1624	592	2442	1362	799	1484	183	144	173
"ENSMUSG00000113591"	2	2	0	0	0	0	1	0	0
"ENSMUSG00000114067"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113645"	3	2	1	1	2	3	2	0	0
"ENSMUSG00000045136"	253	135	174	1526	3837	7987	517	440	1013
"ENSMUSG00000113883"	56	43	13	18	24	37	21	17	4
"ENSMUSG00000071451"	4818	2535	5519	2920	4173	7003	9864	4864	5167
"ENSMUSG00000038267"	44	16	162	310	5	17	630	217	356
"ENSMUSG00000088573"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113430"	106	29	4	6	22	40	14	20	14
"ENSMUSG00000113843"	824	658	650	188	387	953	702	750	268
"ENSMUSG00000114170"	56	59	12	12	11	13	13	14	9
"ENSMUSG00000113998"	7	5	0	0	5	2	1	0	0
"ENSMUSG00000113554"	53	55	27	6	29	43	53	43	13
"ENSMUSG00000113185"	2	0	0	0	0	0	0	0	0
"ENSMUSG00000021411"	1310	1	415	0	4	3	440	204	298
"ENSMUSG00000086786"	0	0	0	0	3	0	1	0	0
"ENSMUSG00000113044"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113615"	0	0	4	0	1	0	0	0	0
"ENSMUSG00000113822"	1	2	0	0	1	0	0	0	0
"ENSMUSG00000113457"	1	1	0	0	1	2	0	0	0
"ENSMUSG00000038246"	200	1	1	0	1	2	69	161	63
"ENSMUSG00000113484"	0	2	9	0	0	1	1	2	2
"ENSMUSG00000114127"	2188	743	676	474	1051	1315	1035	1149	1080
"ENSMUSG00000113170"	27	747	9	4	19	11	7	7	15
"ENSMUSG00000021413"	2891	4037	3447	1836	4122	3344	6179	4488	13738
"ENSMUSG00000021414"	5	8	351	91	7	8	2	2	4
"ENSMUSG00000021415"	1	0	1	0	0	0	1	0	0
"ENSMUSG00000098209"	10	7	1	2	17	14	21	18	7
"ENSMUSG00000021416"	346	11	69	581	784	258	16	4	2
"ENSMUSG00000113066"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000085962"	1	3	0	1	3	3	1	1	0
"ENSMUSG00000021417"	7732	6606	16190	1891	5028	3882	3669	2742	5055
"ENSMUSG00000114061"	0	1	0	0	0	0	1	0	0
"ENSMUSG00000113738"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000113906"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102099"	3	1	0	0	2	1	1	1	1
"ENSMUSG00000113770"	122	3	1	1	0	2	0	1	0
"ENSMUSG00000077601"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000059288"	824	863	1129	1399	3236	6097	1829	1125	4758
"ENSMUSG00000065178"	3	2	0	0	0	1	0	0	0
"ENSMUSG00000021418"	4999	1273	9042	3017	2966	1028	5276	5489	7871
"ENSMUSG00000050423"	2	4	0	0	3	0	493	279	1195
"ENSMUSG00000046573"	642	4611	2371	71	1195	46	1187	770	1286
"ENSMUSG00000021420"	252	1917	451	310	1569	5096	1022	1087	1108
"ENSMUSG00000077282"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000039114"	13	16	4	3	13	17	107	5	110
"ENSMUSG00000039109"	1	6	3	0	6	7	3	2	1
"ENSMUSG00000021423"	10	2	0	0	7	2	1	3	2
"ENSMUSG00000100760"	0	0	0	0	0	0	0	0	33
"ENSMUSG00000100932"	0	1	0	1	0	1	0	0	0
"ENSMUSG00000099847"	0	0	1	0	0	0	0	0	0
"ENSMUSG00000100022"	0	1	0	0	2	0	0	0	1
"ENSMUSG00000039087"	13528	3726	6636	1095	1854	6691	563	27	284
"ENSMUSG00000021427"	13190	18037	11877	3550	9708	14930	9536	3706	22008
"ENSMUSG00000044566"	56	64	36	16	57	40	51	15	5
"ENSMUSG00000021428"	493	751	3936	819	3382	6779	3533	2757	5549
"ENSMUSG00000098481"	8	12	0	2	7	3	2	3	0
"ENSMUSG00000103789"	13	30	15	2	11	9	6	2	4
"ENSMUSG00000054889"	83	712	1211	70	2	3641	1	43	400
"ENSMUSG00000021431"	1805	4132	2602	738	1278	11	3209	2629	4389
"ENSMUSG00000039004"	4	9	101	1	1	3	1	89	28
"ENSMUSG00000038991"	377	2052	4134	3979	2623	16978	15839	13210	14201
"ENSMUSG00000038982"	1975	4833	3924	1028	74	1	576	692	1211
"ENSMUSG00000001707"	5916	4299	14510	4670	5090	11614	4895	3412	16425
"ENSMUSG00000087909"	0	0	0	0	0	2	1	0	1
"ENSMUSG00000021432"	1542	976	5164	359	197	617	1612	81	491
"ENSMUSG00000097151"	17	15	1	6	9	3	5	4	2
"ENSMUSG00000096932"	25	0	0	71	1	0	0	0	0
"ENSMUSG00000065256"	0	0	0	0	0	0	0	1	0
"ENSMUSG00000047094"	2	3	0	0	1	1	0	1	1
"ENSMUSG00000055732"	12	15	4	1	9	14	9	5	11
"ENSMUSG00000021359"	56	76	146	24	40	48	90	86	73
"ENSMUSG00000097752"	41	5	0	1	3	4	0	2	1
"ENSMUSG00000090475"	29	16	44	19	11	66	5	1	7
"ENSMUSG00000021360"	200	73	806	869	23	403	595	275	1099
"ENSMUSG00000093269"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000086693"	0	2	1	0	1	2	0	0	9
"ENSMUSG00000038683"	13489	22063	26494	9656	8872	36203	13972	10992	15419
"ENSMUSG00000021361"	14213	19006	21003	6471	10331	47075	10035	10559	11658
"ENSMUSG00000021363"	23	21	3	6	29	36	19	191	253
"ENSMUSG00000021362"	2	3	179	1	2	2	1	1	3
"ENSMUSG00000038651"	5	8	3	1	1	3	3	4	3
"ENSMUSG00000021364"	12	13	2	3	9	9	517	26	297
"ENSMUSG00000091264"	3034	4441	4734	281	1326	656	1421	655	1047
"ENSMUSG00000090853"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000021365"	40	32	8	3	24	327	14	15	44
"ENSMUSG00000097373"	2	2	6	3	1	0	4	4	2
"ENSMUSG00000092835"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000087370"	169	44	394	69	34	38	85	114	575
"ENSMUSG00000054258"	0	0	0	0	3	3	1	2	1
"ENSMUSG00000058022"	783	1010	1967	4	7	6	5	3	1
"ENSMUSG00000085759"	1	0	0	0	1	0	1	2	1
"ENSMUSG00000099672"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103479"	0	2	0	0	1	0	0	0	0
"ENSMUSG00000113856"	1	1	0	1	0	0	0	2	2
"ENSMUSG00000089035"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000100071"	9	16	1	2	11	10	7	4	1
"ENSMUSG00000021366"	890	24	3728	0	46	11	593	84	657
"ENSMUSG00000021367"	16	28	3	7	13	11	4	9	4
"ENSMUSG00000113619"	0	0	0	0	0	0	0	0	1
"ENSMUSG00000113000"	2	1	0	0	0	0	0	0	1
"ENSMUSG00000113367"	3	8	0	3	4	7	0	2	1
"ENSMUSG00000095255"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000054728"	53	81	20	20	74	70	76	510	170
"ENSMUSG00000089710"	0	2	0	0	1	0	1	0	0
"ENSMUSG00000085276"	293	55	18	22	54	64	39	47	28
"ENSMUSG00000090135"	0	1	0	1	1	2	0	0	0
"ENSMUSG00000088527"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000087202"	8	6	1	1	5	6	1	1	2
"ENSMUSG00000021368"	851	1161	2935	815	1513	2740	2442	1909	3749
"ENSMUSG00000051335"	1400	770	60	633	325	133	45	72	279
"ENSMUSG00000054021"	32	27	526	3	6	21	149	119	738
"ENSMUSG00000063200"	17120	34467	19214	6203	6939	8984	20547	11653	22189
"ENSMUSG00000038546"	3820	4037	8442	3627	2428	5574	2443	1501	9262
"ENSMUSG00000112942"	1	1	0	0	0	0	0	0	0
"ENSMUSG00000065315"	0	0	0	0	0	1	1	0	0
"ENSMUSG00000113891"	0	0	0	0	0	0	10	0	0
"ENSMUSG00000113177"	11	15	5	2	17	16	14	16	7
"ENSMUSG00000112983"	37	0	0	0	0	0	0	0	0
"ENSMUSG00000021371"	3706	6219	3703	12	191	7	807	335	1279
"ENSMUSG00000044164"	38	48	379	11	33	42	13	21	15
"ENSMUSG00000114121"	3	3	0	0	0	0	0	0	0
"ENSMUSG00000110016"	5	4	1	3	3	6	2	5	2
"ENSMUSG00000015396"	5	2	0	32	1	2	1	0	8
"ENSMUSG00000114192"	0	3	0	0	0	1	0	0	0
"ENSMUSG00000113780"	2	2	0	0	1	2	0	1	8
"ENSMUSG00000089107"	0	0	0	0	1	0	0	0	0
"ENSMUSG00000113671"	3	0	0	0	1	2	1	1	0
"ENSMUSG00000113252"	2	1	0	193	24	356	0	168	182
"ENSMUSG00000113276"	7	7	2	1	5	7	4	6	5
"ENSMUSG00000089815"	0	1	0	2	4	2	4	17	2
"ENSMUSG00000113458"	1	1	0	0	0	0	0	0	0
"ENSMUSG00000113186"	86	165	53	41	172	302	149	145	21
"ENSMUSG00000113727"	1	1	1	1	0	2	0	0	1
"ENSMUSG00000113689"	0	1	0	1	3	0	0	0	2
"ENSMUSG00000112936"	0	1	3	0	0	0	0	0	0
"ENSMUSG00000098107"	9	21	16	5	10	10	4	8	1
"ENSMUSG00000098124"	0	0	0	0	0	0	1	0	0
"ENSMUSG00000098144"	1	1	0	0	0	1	0	0	0
"ENSMUSG00000113010"	0	1	0	0	1	0	0	0	1
"ENSMUSG00000113492"	1	4	0	0	1	2	0	1	1
"ENSMUSG00000113977"	0	1	0	0	0	0	0	0	0
"ENSMUSG00000113730"	354	323	2345	0	2	0	1	0	0
"ENSMUSG00000038518"	37626	38143	42827	26624	20756	54607	12191	10019	22705
"ENSMUSG00000088189"	1	0	0	0	1	0	0	0	0
"ENSMUSG00000057531"	3424	2051	3721	237	470	367	2958	2883	4293
"ENSMUSG00000065656"	10	10	5	5	11	13	10	9	6
"ENSMUSG00000078915"	29	23	3	55	183	228	22	30	41
"ENSMUSG00000047061"	8	8	0	4	37	15	3	5	2
"ENSMUSG00000113553"	2	1	1	0	0	0	0	2	0
"ENSMUSG00000098136"	53	12	8	13	43	44	50	73	21
"ENSMUSG00000113772"	2	2	0	1	0	1	0	0	1
"ENSMUSG00000113919"	3	1	0	1	0	0	0	1	0
"ENSMUSG00000088203"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000038175"	2782	8	2	4	70	11	307	263	978
"ENSMUSG00000113446"	0	0	0	0	0	1	0	0	0
"ENSMUSG00000089211"	0	0	0	0	0	1	0	0	0
"ENSMUSG00000000253"	260	1832	460	305	694	305	545	170	504
"ENSMUSG00000046876"	328	426	135	107	127	148	84	107	52
"ENSMUSG00000114131"	0	4	0	0	2	0	1	0	1
"ENSMUSG00000113987"	3	3	0	2	1	1	0	1	0
"ENSMUSG00000038152"	6	198	200	2	10	17	1	8	15
"ENSMUSG00000113860"	3	0	0	1	0	2	1	1	1
"ENSMUSG00000062282"	5	2	0	1	1	3	4	1	0
"ENSMUSG00000063529"	1	2	1	0	1	3	2	1	0
"ENSMUSG00000038132"	22	24	6	4	13	27	6	11	15
"ENSMUSG00000021373"	3	5	1	1	2	3	62	2	74
"ENSMUSG00000087913"	0	0	0	0	0	0	0	1	0
"ENSMUSG00000069237"	476	1201	1970	1072	1655	3301	2860	2103	5697
"ENSMUSG00000021374"	940	1868	10290	7771	8021	16723	11640	6936	29979
"ENSMUSG00000021375"	21	13	523	70	419	11	1762	838	3148
"ENSMUSG00000064558"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000084466"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000051606"	1	6	7	0	1	0	12	0	3
"ENSMUSG00000089131"	0	1	0	0	0	0	0	0	0
"ENSMUSG00000044231"	2	2	1	95	3	1	1	0	159
"ENSMUSG00000021376"	1630	635	260	728	77	1	767	742	1897
"ENSMUSG00000038080"	16	1465	1070	279	560	2	586	667	1325
"ENSMUSG00000021377"	3507	1741	4575	8040	30452	23873	18648	9426	66312
"ENSMUSG00000038068"	12	24	6	6	12	15	8	3	11
"ENSMUSG00000047324"	1	2	0	0	2	0	0	0	1
"ENSMUSG00000097622"	9	20	6	2	11	16	4	4	8
"ENSMUSG00000021379"	5	3	0	233	7	283	6	0	5
"ENSMUSG00000097326"	1	0	0	0	0	0	87	2	0
"ENSMUSG00000050954"	345	114	44	26	75	66	92	81	322
"ENSMUSG00000053181"	4	2	0	0	2	0	0	0	2
"ENSMUSG00000097375"	1	0	0	0	1721	46	461	132	3
"ENSMUSG00000065453"	0	0	0	0	0	0	0	0	0
